Song,Artist,Label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Talking To The Moon,Bruno Mars,0,-71.45758933555898,-41.0445757022306,-21.13017645309832,133.64650253755536,12.535012993074886,-15.683440085360573,-14.398946003769469,51.154169248911785,-1.5484233355669061,-21.71086673177198,6.913635435013905,-3.5649753704467693,-57.68313576996683,7.9162020307020935,25.054562728879212,53.98344601281099,-18.31586168358716,-26.889695572781015
Don't,Bryson Tiller,1,171.25226254802277,11.11316352441271,33.739757398190605,-22.198624151067808,-40.06382309411854,149.85780317763297,-26.529839991732278,-89.36105121155545,-1.1081358546147277,-9.588230556127543,-82.66933190849689,114.6691601668473,72.20059960915594,-18.33577748035874,3.007373092615298,-5.255396313251372,35.22621687410195,-74.30411675383661
Whoopty,CJ,1,60.94545205390141,45.92047151828933,56.73755141837455,84.12988859968031,-20.182987207244103,-26.75108362934911,55.59089066265935,-21.41766451900641,65.42210888565009,-87.93651056005736,-7.544819886242253,-92.50478425786906,-118.22948121624876,42.18261538488443,-12.531017458031373,9.232473611241232,-69.54244344343275,24.14013089345348
Blame,Calvin Harris Featuring John Newman,1,101.82195367815369,-73.06747034015561,63.4566847775848,-14.278837517075871,-41.06468502465717,135.84681826155733,-7.5993464310683905,75.02111360792622,49.22714988110409,-14.7481888788499,-63.596845091074584,-13.956455857961501,-40.57084949503704,55.232111746508515,-73.767434362956,-16.927061200114867,100.87939920232068,-8.220841962255372
Burning House,Cam,1,-225.47780478217769,73.22511186544725,-116.89766597863436,31.706854479181477,9.307011544344848,-1.5326457878150557,60.190349317015084,32.41530518751328,-44.97027062457515,18.95765787648652,-7.008776766792604,-14.739189138528472,2.7612809315402864,63.2140643537175,27.10716332424995,-16.846986534393395,-45.636370172043065,-104.38281349796615
Consequences,Camila Cabello,1,-218.07098179426163,91.37271055582457,-119.16242039220354,-89.04147037799503,-37.9358311312727,24.564703424260106,-17.14060691126438,56.54982179790655,2.942886941936209,-5.119114952048052,57.349310312845304,43.53585676796556,29.138024645572383,11.06004238257087,-29.737984633810722,29.345830029763707,22.26502970152867,35.49328604956837
Havana,Camila Cabello Featuring Young Thug,1,-24.652123256663756,-22.940958955916425,-55.66990666859982,-14.312212987026287,-58.776937810836195,12.762608039025132,-54.40878855779134,28.40313948179137,-38.11403280135711,-76.97212162997789,-0.971012638774229,33.5190308327245,50.32285449755202,-50.12401423462389,-6.307819028670578,-41.59242841924811,-12.679079232405593,20.355612656579762
Money,Cardi B,1,82.82860722480339,266.53073482453703,73.53866086733663,-65.69221815399702,169.56005032085267,-51.773045610944,87.87313477881543,62.70971090725359,-92.33853733728961,-44.28676324654781,6.829922790149816,44.761298285892494,106.48253871318164,1.7755480231676875,-38.04851251161235,38.80000806626407,-17.608180508825367,-29.144721945019715
Bodak Yellow (Money Moves),Cardi B,1,-23.94811359350992,126.9827897242742,-14.489824112684966,40.854163186028,-51.41502582633339,-50.82173422613931,113.08187063131113,127.43111324386895,12.95306586585879,-56.378662494513996,-57.333057569570826,20.311379320867236,-64.54161951045728,8.428660885694162,7.471224822955154,-0.21917404733158033,-32.25680972653751,53.094715830219826
Up,Cardi B,0,178.709282838882,164.68470757835945,-4.762091139342491,-14.132821692644596,95.58886455660785,34.65191443589764,60.002698913527404,-50.78803310115797,-50.97795646493793,-15.542305237549153,31.109795301901833,33.44709400280092,27.159323603563813,-90.27327223911854,48.24174045728275,104.17795707200342,-7.0953123844108354,63.11532202330094
Que Vuelvas,Carin Leon X Grupo Frontera,1,0.17590307128619434,-58.88392886637776,-18.950659294813363,-72.02678281777985,-81.90889050632754,-129.07115136883368,65.02449357755982,42.68726432913838,-63.09322488593542,43.14761271207341,39.69554553169173,-43.96344268432679,-39.741072053797865,-6.710404479996982,27.31239245889193,-5.0072734064577835,21.52296270536737,26.85398793938965
Hallelujah,Carrie Underwood & John Legend,1,-185.2868830947927,37.11147775237786,60.17571198522507,-112.10407850822696,41.90326404187572,15.905281192867157,78.00229512398516,-54.36667792423172,-28.797691813623366,29.8758720744021,-53.54676656733592,-47.20897946637934,17.76415375469975,38.39146426725202,-5.800513520049767,-88.6885667041884,30.864811424967776,-7.6194124252532145
Break The Rules,Charli XCX,1,215.37483841981137,-87.57627523558243,21.461546868899074,-43.96526974300739,23.22572889290906,-107.31839727726985,51.2995713122435,28.686622981800863,3.48884487693474,7.264087319234538,-32.68230465621127,40.58386084828908,-14.39853188050058,-0.7279734880390738,-10.381724223153595,12.583359944052306,27.877281911705776,-7.912043696722895
One Call Away,Charlie Puth,0,-153.94536693703452,49.26856387819765,166.46973109032666,50.70105717327011,-57.86546179994166,51.62240650399214,40.22726800305887,69.696589344983,45.1808047535457,6.76751834320863,-4.805420144178227,-62.68991522404238,42.90005742043335,-30.741595162390844,21.69142964929118,13.476324864920183,0.16284945517359012,-21.30474754090299
Wish I Didn't Love You,Chloe Kohanski,1,-176.19580702807198,-33.85642072228058,60.12353438283036,-91.0737536830789,-35.67893434683773,-68.11511403755128,99.2275491293191,49.71071816540932,-31.00781947351403,16.542540207965065,-6.182534079026921,-4.747490777515274,25.62026642379385,26.67272587400524,-21.714959763659838,-38.517605579706945,-45.53350303453443,-13.258797637808643
Heat,Chris Brown Featuring Gunna,1,8.839745845167798,-148.07498370005757,7.989223444287905,48.755503300986526,-57.49018453322185,29.75091097376231,44.47727432686961,4.195188662510976,19.781253982038976,-30.00062994883983,18.973859657558663,23.0061919597733,-32.23702292346174,39.26462155959364,23.00959102710171,-10.76783295154178,-32.133630217411934,-2.334948401776677
"Big, Big Plans",Chris Lane,1,-121.66326805731217,-31.123419712969238,-101.48251347936692,-27.00592557998841,42.90419165411459,47.639674902920824,-30.46221713065973,-108.2510064321221,-28.45919389478776,-14.898042212394065,47.10507068343477,32.76236452885424,-75.69336111182503,18.500141010529404,30.937203771369102,-3.3659512478047104,27.044852231668678,-18.45682155405497
Starting Over,Chris Stapleton,0,-144.1970764950292,-67.83126165959254,58.035300485191904,-120.87302421414572,-45.55209196154884,-37.28702776511614,80.54082664614832,16.987827827559396,-9.329330705807275,55.514251081566876,-53.03391111857108,18.75774134890088,87.93243919417105,89.81170030780075,24.668928049113195,-11.261087268484461,-11.58836990376422,25.24733519644851
Losing Sleep,Chris Young,0,46.669423065353435,-58.75359303410542,112.89767220017724,22.56159831411328,-52.385326003419024,46.54778142989092,-2.707076029742314,1.6653880134832653,37.5740173908534,25.29367009515528,-0.21428360279584235,4.401091604846017,-6.9743560367989685,-26.55663832767258,43.08777830566763,36.496201733765105,18.613159529352146,-69.77911099150387
Run Rudolph Run,Chuck Berry,1,62.74481086684096,-242.00763448678558,-29.484490033677872,-6.569127967393073,-38.2141696998486,-6.874354478981321,66.17043118504627,-2.889738781457257,-21.047194384861765,-51.35020603266095,61.26706774265249,91.31826545366961,-22.86571642946711,12.884280735107815,20.09878633835685,9.400286724202058,48.72972578313784,-16.68157205413871
The Painter,Cody Johnson,0,110.37326428341113,-200.21411903270882,-80.19985598521987,25.24885524893068,45.184802174887636,13.157536231414772,68.37178689247853,-43.06039510099085,-89.19468764804441,6.5184555186593505,12.23252388184651,-42.673776444662515,60.269736016866645,37.06174601434133,-40.04262239856184,-38.7686540718374,48.72445726840452,27.535150903148065
Broccoli,D.R.A.M. Featuring Lil Yachty,1,46.57312820144052,40.71214249497447,93.51726934006679,-28.009107803846454,-85.91598010912156,16.8609497060236,66.80389449414868,-62.54765920864196,25.21186793268014,28.76842053127037,-22.835459500080262,43.88659280560773,-94.98538836516761,11.852255922124248,-80.95387269595042,21.64149312972844,-39.532592804842146,11.19124107304937
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",1,37.940970768310784,-128.1602273477339,21.31510918143162,97.19475552278482,29.83893508109436,99.45205501982507,11.59817156588749,-14.761576431919835,-41.08491276060899,-60.5144272706503,-8.465723407795899,-69.5664632312083,2.135258522162966,-24.47851684966404,-24.72699493090658,7.821258230593245,-61.364081295635934,-5.299127029491877
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",1,-109.10558336303448,-2.217804076813051,27.683432901541178,-34.247442753098824,-103.68034409614123,15.305185859554443,-16.726522369426974,29.85365098566243,20.99408456154563,-25.481243829893014,22.92437274812206,-15.07569074029372,30.833325226425288,69.37748091169858,56.489421153475156,34.785075093820105,-29.00952018423692,2.436769802366672
OTW,DJ Luke Nasty,1,-112.21557962802257,89.50291584980661,112.51696492595791,37.06557757713318,-110.74661126246657,72.86150466817864,-17.486525890639413,-9.57261338546433,40.283297926712336,-10.717004316342038,-38.567641215038215,-33.81757393874324,-42.33479546953443,40.235411219769546,9.464222420867628,-0.1308625708515113,-1.7683721190121964,-24.266705417421456
Do It Like Me,DLOW,1,19.872965883273924,22.120014032587804,-25.958892689578505,-21.94029370270271,-124.28132427676046,-59.20627367261396,-103.37373431581867,-2.855365974267357,-108.88555449329425,-127.05926802683913,-19.453326400561764,25.952175710554798,48.7429215049824,40.939496143139735,-50.798658522892424,-58.09091835919037,33.889895536701886,-1.920792802317188
BOP,DaBaby,0,135.42274941464677,78.36313554211534,45.87498727824047,44.67621173614073,19.215658054333996,-104.03179294762063,69.12931746728113,8.868017916720685,-29.858928898351998,-34.00883381235973,51.02262085514247,20.32206972775633,-76.21554389814615,9.626118150913435,-25.869103920976634,-18.60069158731596,-52.80599735974387,-56.12591823225988
Soldier,Damien,1,-82.13768680826625,-102.66154947671454,-4.600159816442516,-75.0214250640171,21.335104188732434,-66.21658841735655,32.94548996341919,13.81778610405141,65.21719251269504,-14.2459701437829,22.730887371998435,-42.10218824937605,51.32868423711527,-1.4027785136952315,-6.5502111163956105,-29.85933995615186,-100.5779450997296,-11.188969668560098
Save Me The Trouble,Dan + Shay,0,-119.47831269863995,-40.900365752911526,-27.44637560197496,148.87825226743,56.5259175070179,-0.13470997309827754,74.86329827144048,-53.93473527201832,-26.8535639631144,-8.765620721395042,-95.29488542170411,76.89333999753804,-49.46625423245176,-110.58409234920417,42.52264809605306,-25.88229650329957,8.773537397526594,-11.404249609346717
Dangerous,David Guetta Featuring Sam Martin,1,174.48161000496137,76.0094140136994,-32.133461175891654,-78.32430960537525,-105.22063519021548,5.770294413682968,-59.49183261924606,-36.08300949367805,66.90090581921207,105.26616940341962,10.091732367207165,-33.25416629316466,-51.9429709780673,-62.676721085795876,-31.676897560461356,-19.04752458641151,32.781522695214434,16.268655257038077
"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,1,-97.13034989526773,-84.3529169084822,111.42327505102529,-8.835187890274193,10.464785164980606,-20.22076143276912,-77.41444717410984,3.2873037256044304,-59.731599027475255,-40.30006124901595,4.481141118184173,62.8953757650687,-17.33766133233825,-40.3481898647227,-28.79420580124099,-55.547519936206754,25.489171083741727,70.55968479398645
Baby It's Cold Outside,Dean Martin,1,-49.09159772920935,-111.74346896057217,-56.127133679909356,-6.539490481046434,25.337823681439666,48.6751551582118,-50.012982309029056,-5.615795388973137,12.46333675975341,-86.72837939035406,55.70161455864961,-6.8747875017469156,-30.310857759343648,-20.17528816684781,-43.32634136200822,-31.367850583956546,22.232837605302066,3.5760765291478926
Tell Me You Love Me,Demi Lovato,0,265.27716981975885,-11.634910341340984,-44.513421135824046,-23.751830977597326,-53.63352776542698,38.05069476478967,-77.91112999360617,55.152022617319034,-84.07213444777159,-18.467095640241233,78.51195034086528,77.63688955400862,33.07073528581037,35.67681073986142,45.459545163711105,-48.51201031240711,-14.967589998221891,-25.483217043496033
Candy,Doja Cat,1,3.2801129438352716,18.673826572724522,56.4386953164811,-138.67858000082873,10.863756116908037,22.38318447669821,-56.510799529586414,28.477017756857194,-75.44393658924585,32.640191258880456,-5.929454924928941,-83.57645720306382,-40.814492989346235,-19.243680614247438,-113.32473413137818,100.7841422828206,25.531492020874687,-0.9672265428254423
Paint The Town Red,Doja Cat,1,-127.74631225452804,41.079155458823266,-59.09038075692559,-106.27619230312081,58.59909293640904,14.122287062903268,-141.64261642304862,-100.65302842297213,-42.17926002953932,-49.09213487682292,21.637201300717127,-9.958787468731918,11.148718348643333,-25.24284728626842,-88.25687678616656,5.298912207302485,-87.03152989143835,3.407848868878796
This Christmas,Donny Hathaway,1,-18.560456273546446,-109.67176642148405,-22.699563820824277,-15.382708017231431,-45.45690928241227,11.393307505280028,-8.948301937262027,-0.11019456416108969,-27.700051950112694,24.47570135913794,19.63400920723764,35.92971322270823,12.028538495774447,-5.113358757425055,18.827103559371054,-50.74605026827922,-21.495403421829277,-12.626524207643596
You Broke My Heart,Drake,1,78.97624760214022,-77.34595723953504,12.29902749061184,20.280841404168058,-85.43216016279547,123.45689831782106,34.06063620154114,-44.20272005545633,-42.410903013710445,-66.89307448875802,-34.65309421414691,-45.66552727704851,21.38969718028668,1.4255615442491072,-14.276998202285064,8.268108746130808,4.326877424866407,-29.377215484035208
Fake Love,Drake,1,209.1274152530166,113.13250975871148,23.17548710177018,-57.246449651163644,34.65806814177394,35.86326285224362,31.65807445509171,-65.8054280693599,20.841517192908924,57.28025182050453,49.336153557730015,55.21310775374387,5.003298221761127,-36.060904832658764,2.1464200842098133,-56.31724287494173,8.749988313660989,-13.146133355805816
Right Hand,Drake,1,181.1331921976722,67.63306686041177,-0.95931373150387,-47.66728592410784,123.11643238769264,27.77377280332514,-30.868882765215414,-62.05437750626048,-24.637411328131915,31.890159456551217,52.69324266831307,-98.80869309897604,-57.31519950372896,7.264324660521242,36.34043882256659,-27.284400240716867,-43.695361401464936,9.947667305393889
What's Next,Drake,0,125.47928718368573,31.251714426558955,12.166467083440452,-13.1310647837155,102.98850806155536,-28.769448187672626,59.79316175276339,0.13626637040342512,74.26704814934513,-130.9380829777081,23.781925136352594,-110.21402170126686,-22.05269846656798,-45.8059981239387,-18.82814883472514,-9.19963494845274,21.238126120351293,10.405253122089226
IDGAF,Drake Featuring Yeat,1,-122.58616583345807,-45.065108586791595,128.22509031554276,104.58514368818545,-27.161353114172073,12.987482717637938,-26.8181021542173,-20.754749951062664,62.473474383195274,11.582729841596647,96.05368313383529,-6.547522805498082,52.78095390516821,29.008138952398095,60.13469048615737,-8.17905698885545,33.75793345346201,-16.884572072369725
Break My Heart,Dua Lipa,0,122.01673608896111,59.28234379293826,-91.42849256436448,-7.655031020839092,-62.135105286341656,4.026827652422819,-54.773029275082415,40.57376418327249,66.94324834111698,66.9891997273323,-38.744063467811834,-6.42426051977266,-83.11518797836791,8.624650017862942,39.20388558257225,31.640896508310867,27.948799561077827,46.64721796030466
Good Girl,Dustin Lynch,1,84.48782229331322,-58.59724226947063,-116.50250516151594,-48.50896773596191,28.747764996097676,4.035422801637214,-2.1664788312345444,-15.852982228264809,17.42747320832789,-0.362605288514828,-33.135314193902715,-24.69055986722879,-42.61753233274005,25.672025560974713,-39.30339389723323,11.949104934477079,45.87553698019497,8.549561875990191
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,1,108.80171451706235,-103.29633201303047,84.28649653288036,-7.208139319276158,-41.54237750124853,10.744924973751948,31.612048425724865,10.490921769049729,-24.61942981996543,53.48216802831751,-18.807105849000912,41.04407328416195,-57.73489855611197,-18.59333405113883,-50.777005303234496,19.149358892249577,27.652053997920735,-2.042792436403631
You're Welcome,Dwayne Johnson,1,98.12179701345852,-203.9661917766418,-64.2183892294141,-50.751432819747905,74.89646142555196,-8.366061480146218,-40.32194876456825,33.69879473236713,-20.151701177762508,-16.599187585751775,7.473649414112843,-7.187933125604312,-4.381347511110711,-83.5166899096847,81.57938225635932,-0.614557516300671,-44.711913912784944,4.324339124400294
Please Come Home For Christmas,Eagles,1,-36.59579641285248,19.717749365416935,-77.93424806484771,90.71854697414753,8.133942244332363,90.02437465006784,-64.92652600253984,-59.360085002511646,27.27526286145364,52.72045743098457,-35.18717629098628,15.298489277863597,8.161542855856979,-56.34930749005327,-7.491953712282643,-20.56584582362322,28.403435562738487,37.73866261968949
